name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Kubernetes,,https://kubernetes.io/,logos/80bd0c1c1947c5c9777eb59dcd66fe2c164b3843f95b87233881d31fd20323de.svg,,,,,,,,,Container orchestration platform,,,,,,,,,,,,Cloud Infrastructure,Cloud Native,,,,,,,,,,,,,,,,,,,,,,,,
Massdriver,,https://massdriver.io/,logos/0e95915796fae4825eb0a6e2602f3fc700e0bd5f9dc2e3e7c2700c6370844940.svg,,,,,,,,,Terraform management platform,,,,,,,,,,,,IaC Platforms & Tools,Infrastructure Management,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Azure,,https://azure.microsoft.com/,logos/0991bb0a1f35ca7e72f7927147ea6fdc5834ec8cfb6f34073ebdd49ef391a732.svg,,,,,,,,,Microsoft's cloud computing platform,,,,,,,,,,,,Cloud Infrastructure,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
MongoDB,,https://www.mongodb.com/,logos/c8238bd2544927c2ade9f3739d83058df1c632adf9e44b84175b084baaed9eb6.svg,,,,,,,,,NoSQL database,,,,,,,,,,,,Cloud Infrastructure,Database,,,,,,,,,,,,,,,,,,,,,,,,
MySQL,,https://www.mysql.com/,logos/863a69517787ec3e626bd17b912e0d4194bcb9d0a5f98625e9b8ee8e6700a65d.svg,,,,,,,,,Open-source relational database management system,,,,,,,,,,,,Cloud Infrastructure,Database,,,,,,,,,,,,,,,,,,,,,,,,
Nginx,,https://www.nginx.com/,logos/ca38f19485e7b39ccd6e5c56fe6ff827e115f63b7b27894d2e007d1244278c83.svg,,,,,,,,,Web server and reverse proxy,,,,,,,,,,,,Cloud Infrastructure,Software,,,,,,,,,,,,,,,,,,,,,,,,
Open Policy Agent,,https://www.openpolicyagent.org/,logos/8ca06f1fcd8b1e8e2e720681d425c2ebc03d5c28fc60a9589d0c1b4b8452efb8.svg,,,,,,,,,Policy-based control for cloud environments,,,,,,,,,,,,Security Tools,Policy & Compliance,,,,,,,,,,,,,,,,,,,,,,,,
OpenTofu,,https://opentofu.org/,logos/f68c6ef60d617ece63b53c83b1b18bf769cb4e51a8a8537b0e661f90aee37e62.svg,,,,,,,,,Open source Terraform alternative,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
Oracle Cloud,,https://www.oracle.com/cloud/,logos/e1b42cda8b3548c214b28b995fdff214446fc072dd3953a6be2bb01597470bc0.svg,,,,,,,,,Oracle's cloud computing platform,,,,,,,,,,,,Cloud Infrastructure,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,,https://www.postgresql.org/,logos/b686ce184d358d39dad86f54b16b501439341f2f17721e22c6fac0a7d63207f6.svg,,,,,,,,,Object-relational database management system,,,,,,,,,,,,Cloud Infrastructure,Database,,,,,,,,,,,,,,,,,,,,,,,,
PowerShell,,https://docs.microsoft.com/powershell/,logos/52149301a6c28230285f907a384a85a7ce3fdfb6efc2c24af09e27cb078931fe.svg,,,,,,,,,Task automation and configuration management framework from Microsoft,,,,,,,,,,,,Configuration Management,Infrastructure Configuration,,,,,,,,,,,,,,,,,,,,,,,,
Progress Chef,,https://www.chef.io/,logos/8ce34f44ef690db658d6408177802e7c724211c26d5123f520f00b1f17d1ef46.svg,,,,,,,,,Infrastructure automation platform,,,,,,,,,,,,Configuration Management,Infrastructure Configuration,,,,,,,,,,,,,,,,,,,,,,,,
Pulumi,,https://www.pulumi.com/,logos/f864eb4aa8c10f6d3400467d24a338ff5be82a45daa54e910177c1f4125d61dd.svg,,,,,,,,,Infrastructure as Code for any cloud,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
Puppet,,https://puppet.com/,logos/896a761e68ca536b5b25fd31d6d9312a06275b7f57205fbd3fbe6902f4880cb2.svg,,,,,,,,,Infrastructure automation and delivery,,,,,,,,,,,,Configuration Management,Infrastructure Configuration,,,,,,,,,,,,,,,,,,,,,,,,
RabbitMQ,,https://www.rabbitmq.com/,logos/87280b6c2cdf97d71b7b5a64e75a4ddaae8951aa7daf087c44e930b65b1243e7.svg,,,,,,,,,Message broker,,,,,,,,,,,,Cloud Infrastructure,Software,,,,,,,,,,,,,,,,,,,,,,,,
Redis,,https://redis.io/,logos/674443b5d8b6968b2d214e04849a32c6ad7d088a539a0ab05735b4fdd1efab5d.svg,,,,,,,,,In-memory data structure store,,,,,,,,,,,,Cloud Infrastructure,Database,,,,,,,,,,,,,,,,,,,,,,,,
saltstack,,https://saltstack.com/,logos/3895b9be1e96135fd06b15acc39d8e604a0fa9052b9cf4af50788c1d731616a9.svg,,,,,,,,,Infrastructure automation and delivery,,,,,,,,,,,,Configuration Management,Infrastructure Configuration,,,,,,,,,,,,,,,,,,,,,,,,
Scaler,,https://scaler.com/,logos/0d138f5d056fff5529290942218a6c278413e6eaa0aa87cf14d5048c67b9a6c0.svg,,,,,,,,,Infrastructure as Code platform,,,,,,,,,,,,IaC Platforms & Tools,Infrastructure Management,,,,,,,,,,,,,,,,,,,,,,,,
Semgrep,,https://semgrep.dev/,logos/746c8f64781ac838f44a2979af70bd6db462b9e9dad31440cfe261afd690f083.svg,,,,,,,,,Static analysis security scanner,,,,,,,,,,,,Security Tools,Security Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Shell Scripts,,https://www.gnu.org/software/bash/,logos/89bc630987beb1e135bb2e6798819c65500d4f3f1fce2e93aab3697d4a44f345.svg,,,,,,,,,Command-line scripting language for Unix/Linux systems,,,,,,,,,,,,Configuration Management,Infrastructure Configuration,,,,,,,,,,,,,,,,,,,,,,,,
